gene,BCC199_G3F,BCC199_G3H,BCC199_G6M,BCC199_G6N,BCC199_S3K,BCC199_S3L,BCC199_S6T,BCC199_S6U,BCC56535_G3F,BCC56535_G3H,BCC56535_G6M,BCC56535_G6N,BCC56535_S3K,BCC56535_S3L,BCC56535_S6T,BCC56535_S6U,HUT2365_G3F,HUT2365_G3H,HUT2365_G6M,HUT2365_G6N,HUT2365_S3K,HUT2365_S3L,HUT2365_S6T,HUT2365_S6U
acu00280_1,12,8,8,6,7,5,52,16,68,66,9,18,149,201,41,19,1,1,0,1,128,90,358,189
acu00280_2,2661,2862,2571,2210,602,656,618,686,1156,2700,3668,3860,2916,3563,1430,1891,3927,5226,3448,2782,1947,2048,861,877
acu00281_1,693,510,642,536,280,423,604,531,471,686,396,469,527,437,440,526,290,288,241,209,349,218,318,388
acu00282_2,3,14,2,4,28,13,20,20,35,148,3,10,12,34,22,15,2,1,0,0,0,0,0,1
acu00283_1,14111,12360,16958,14905,13365,14024,12768,12612,12984,9192,6794,10646,8322,5647,15553,15930,15224,13118,12852,15962,5630,3704,5822,9653
acu00283_2,11757,8167,7491,3948,4450,4848,2009,2268,7461,7804,12353,26748,2214,2023,692,860,8815,7372,6401,8152,3308,1961,719,984
acu00284_1,2604,2417,2051,1285,1849,2762,2329,762,4263,5272,4425,6080,1816,1377,1947,1452,4615,2969,2230,3807,738,1163,615,1325
acu00285_2,20,1,2,1,28,24,27,2,102,146,23,84,15,25,3,4,4,3,0,2,3,5,6,5
acu00285_1,464,135,144,138,119,146,215,219,70,183,324,349,717,426,1697,851,411,455,604,479,1129,736,1447,1148
acu00287_2,956,1238,2125,1978,205,301,921,675,185,316,257,79,574,543,1737,555,5202,4117,4266,5723,947,852,2060,1990
acu00287_1,667,234,615,383,1831,1953,1435,1260,2627,1509,1424,1410,1468,845,1181,848,517,451,526,552,595,334,512,697
acu00288_1,21,14,21,11,25,37,17,21,6,7,1,5,0,1,0,0,1,0,0,0,0,1,0,0
acu00289_2,501,263,316,271,1620,2597,912,392,673,426,199,416,303,172,224,306,456,332,265,413,187,107,103,245
acu00289_1,14654,12041,21175,23028,14223,14907,7704,6828,30252,24087,10810,17296,8474,5109,7375,11100,15579,11789,8201,13464,9208,7355,9707,14118
acu00290_2,400,456,672,565,476,619,328,331,3274,3143,765,1402,1217,1377,920,1300,374,335,403,325,1193,599,619,720
acu00290_1,992,991,717,701,1277,1470,2007,1813,809,1143,1170,1432,2355,2225,2789,2973,2088,1512,1921,2418,2408,881,1814,1943
acu00291_1,402,286,412,337,433,475,365,316,375,177,338,377,151,218,27,73,73,55,38,58,75,18,62,85
acu00291_2,381,183,345,292,316,348,428,424,70,103,316,405,353,215,436,669,169,171,152,214,620,228,315,412
acu00292_2,2177,1612,1511,1213,292,326,263,345,3174,959,2492,1882,882,1295,780,718,1366,1100,1071,1324,503,206,537,556
acu00292_1,3248,5701,4069,3736,6469,6836,4654,4962,2522,3690,2824,4198,7277,5752,2479,3048,3585,3196,4032,4336,5122,2092,3897,3671
acu00293_1,677,403,508,416,238,241,513,511,585,1222,627,798,394,872,809,572,512,423,465,551,434,219,473,589
acu00293_2,313,265,153,148,271,349,111,109,642,1567,192,356,411,696,9,21,2548,1900,2447,2620,639,176,173,159
acu00295_1,23838,25400,30992,23869,18167,19408,15880,16540,16142,23181,8111,10736,6890,7558,4889,6077,9608,8219,8016,9734,9143,7725,3813,7900
acu00295_2,2396,966,2141,1850,663,760,1438,1577,15,12,46,33,208,153,94,184,129,108,126,167,2654,1090,3375,2442
acu00297_2,4013,4034,3548,3631,4794,4967,5717,6444,2274,2719,2232,2658,723,962,1851,4772,7725,5795,5763,7634,3093,1247,3231,3021
acu00297_1,570,308,142,156,787,725,694,554,1082,1663,1433,885,5938,3226,11604,6055,1221,1256,1594,1412,773,1156,1188,958
acu00298_2,2914,1706,381,363,0,1,1,5,2,2,0,2,7,6,0,35,0,6,2,5,0,1,1,1
acu00298_1,1588,678,495,406,1777,2141,2414,1283,734,1342,1494,1178,20167,11421,3337,2174,1426,1419,1810,1603,1472,1163,3428,4078
acu00299_1,69,71,39,59,68,85,79,77,2,12,3,16,50,46,6,9,0,0,1,0,0,0,1,0
acu00300_2,0,0,1,0,0,0,0,0,21,57,7,52,60,42,14,13,0,1,0,0,5,2,0,1
acu00301_1,225,137,150,80,216,230,108,82,185,296,256,743,480,303,485,242,0,4,2,2,1,2,1,3
acu00302_1,421,356,191,194,128,194,175,113,947,877,712,358,2444,1402,663,345,743,575,682,953,345,163,192,198
acu00303_1,12371,12805,11572,9350,10260,10590,12380,11761,24157,24303,15716,15122,18898,23513,16181,17718,13279,13939,14549,15133,24179,21076,19839,19417
acu00303_2,9585,12488,10095,7808,8418,9492,14464,13105,12432,18258,13167,12980,21232,26955,20897,25606,15548,15057,16228,17498,24609,17236,18795,23287
acu00304_1,212,42,26,12,75,68,69,64,6,58,99,128,220,136,134,80,105,95,112,96,80,50,89,86
acu00304_2,200,157,224,190,914,1126,1028,1111,339,405,502,483,3626,2477,4518,1100,450,391,564,548,1133,648,1904,1686
acu00305_1,56776,56417,52740,46557,57521,58788,62050,68493,63906,69502,59341,82903,48204,44702,47955,62844,83663,71341,68938,80286,39843,38656,42282,63129
acu00305_2,51411,14445,27291,18703,4488,4912,4832,5154,30150,26693,67913,98251,2799,2756,1390,1994,89576,61347,60234,85281,3702,2631,1367,2039
acu00306_2,448,300,250,162,104,89,139,159,666,660,1765,1514,7052,7729,2778,3240,1334,1062,1392,1706,535,296,736,681
acu00306_1,763,334,347,251,158,231,240,244,483,353,811,518,356,315,486,543,1252,1159,1412,1532,441,236,516,354
acu00307_1,34,40,31,17,25,24,18,32,1,0,4,1,1,0,3,2,217,161,120,209,48,35,62,109
acu00308_2,1620,1043,784,740,490,451,484,344,497,692,590,557,563,637,601,623,1306,1064,1082,1347,1278,449,907,919
acu00308_1,3148,1963,3145,2709,4220,4402,3739,3024,1804,1701,1975,1863,2274,2445,3024,3425,2897,2639,2462,2983,5241,2273,4713,6455
acu00310_1,1433,1307,1074,863,354,421,600,622,1653,2511,1057,1500,1554,1963,648,761,569,482,678,660,1542,962,1502,1399
acu00310_2,26779,16141,15832,16808,4795,5861,6635,6421,34618,38235,18127,16087,10142,10199,8288,12465,17086,16540,18458,17276,5714,4609,8119,10743
acu00311_2,418,122,337,377,75,92,323,350,202,288,189,114,73,33,374,746,109,94,94,87,76,64,153,164
acu00311_1,687,691,1485,1139,320,349,1288,1125,7621,5077,30442,16074,5982,4652,28179,60774,14177,10584,11330,16092,4053,1570,6655,6839
acu00312_2,8562,8212,10671,9368,2515,3093,3112,3185,22825,22052,30719,24591,18886,17740,16795,22931,16309,15938,17155,18103,15219,8976,11536,13619
acu00312_1,16533,21352,18825,19212,15038,16492,14055,13213,15316,23353,18339,20992,15897,17718,10262,16045,21533,20446,21838,23104,17943,15896,16006,20958
acu00313_1,47908,54691,35656,25458,25708,26352,13168,16604,51401,37118,56449,101050,49494,38244,33470,42010,47497,39211,37237,50155,22983,22996,21501,23619
acu00313_2,75,125,119,67,2060,2271,1013,980,6575,5382,5207,7913,5940,9343,2401,3013,2248,2418,2259,1876,4255,2489,6176,5222
acu00314_2,324,493,235,231,84,121,52,138,13,58,10,27,44,49,1,0,255,207,268,367,55,87,44,63
acu00314_1,2164,1642,1806,1480,262,274,464,496,668,1059,765,910,444,544,193,295,1976,1532,1796,2338,1262,889,1174,1222
acu00316_1,1123,820,1319,1142,3259,2930,2025,1969,1001,1035,947,977,1320,3472,2349,1568,1162,1027,1251,1408,1770,1491,1261,1803
acu00316_2,397,256,285,290,359,489,589,330,272,591,364,666,11330,2711,713,519,239,243,292,254,461,329,300,462
acu00317_2,516,216,212,266,471,488,186,217,96,94,32,49,301,289,309,290,256,176,178,237,147,166,163,239
acu00317_1,1987,998,1170,1313,942,987,879,817,111,171,86,126,1020,2264,171,189,235,121,105,213,41,42,159,275
acu00318_2,1406,294,626,637,133,105,107,132,68,61,52,51,191,114,104,110,44,35,42,33,61,45,75,75
acu00318_1,3766,2584,3158,2394,3611,4044,1877,2158,2416,2994,1497,1901,5119,3694,3679,2647,5613,4748,4596,6096,5330,2283,1973,3434
acu00319_2,72,35,29,29,32,55,30,43,162,110,61,83,126,114,86,118,57,53,75,60,65,39,55,58
acu00320_1,429,229,267,314,353,339,732,794,998,1226,1005,1035,1390,1206,1162,1120,2422,1950,2462,2875,1011,503,1185,1195
acu00320_2,464,326,318,334,428,486,423,420,470,502,307,461,463,459,325,382,979,874,900,964,1083,289,559,650
acu00321_1,1022,1322,1458,1538,5987,6555,4462,3979,2457,3817,2325,5134,5264,3470,1768,2985,4174,4132,3761,3693,3778,3151,2832,3857
acu00321_2,3032,1251,1567,1718,118,168,92,123,207,805,208,450,359,426,49,69,719,678,709,899,2291,1406,649,704
acu00322_2,27315,64919,74302,71096,51450,52378,74263,68028,70766,68573,50391,63683,68516,86746,27409,55237,28489,38282,40515,29543,60843,62284,40970,52417
acu00322_1,426,488,680,529,182,216,93,89,407,139,861,877,12,12,137,68,520,608,699,687,184,137,53,102
acu00323_2,1368,738,1141,1026,2109,2086,2156,2107,1386,938,692,969,1105,1035,1608,1308,1575,1314,1287,1591,2684,1313,2237,2769
acu00323_1,2501,1854,1679,1362,1768,1797,1706,1603,2233,2393,1941,1751,2759,2514,3458,3301,1499,1291,1556,1530,2958,1368,2693,2177
