gene,BCC199_G3F,BCC199_G3H,BCC199_G6M,BCC199_G6N,BCC199_S3K,BCC199_S3L,BCC199_S6T,BCC199_S6U,BCC56535_G3F,BCC56535_G3H,BCC56535_G6M,BCC56535_G6N,BCC56535_S3K,BCC56535_S3L,BCC56535_S6T,BCC56535_S6U,HUT2365_G3F,HUT2365_G3H,HUT2365_G6M,HUT2365_G6N,HUT2365_S3K,HUT2365_S3L,HUT2365_S6T,HUT2365_S6U
acu00000_9,112,92,201,189,68,34,89,72,422,662,356,637,238,241,201,207,126,112,166,170,140,97,123,132
acu00000_1,811,3523,401,174,154,241,783,603,26,182,19,86,5,9,3,2,2,4,2,0,51,291,77,46
acu00000_5,347,269,112,67,10,14,4,4,284,4118,933,3590,212,962,361,167,508,594,636,632,9974,11720,5184,5833
acu00000_2,889,1340,1434,882,827,996,1589,1408,368,494,7,35,67,88,6,10,34,26,50,54,35,42,55,39
acu00000_4,2,3,0,0,0,0,2,0,11,164,7,31,5,4,2,1,5,3,1,5,2,8,1,6
acu00000_13,0,0,0,1,1,0,0,0,1,10,1,3,7,5,12,4,6,0,1,3,0,0,2,2
acu00000_14,53,39,78,50,83,130,15,9,3,1,0,4,0,1,1,1,392,392,300,370,178,42,73,136
acu00000_15,634,500,671,320,520,555,396,338,96,88,82,116,149,133,122,123,688,879,787,670,271,130,158,211
acu00002_2,1924,1949,1484,1234,96,163,589,568,102,261,400,489,104,44,166,159,125,115,138,149,112,71,151,185
acu00002_6,368,293,305,278,178,202,244,222,96,81,122,114,141,196,339,308,75,99,84,120,327,97,211,237
acu00002_7,380,307,301,287,407,510,806,800,11,4,35,61,18,45,219,304,57,55,70,68,84,30,20,37
acu00002_8,283,173,170,181,117,85,90,81,59,57,36,68,47,39,107,84,1197,1238,1782,1558,2429,1253,2027,1773
acu00002_9,129,85,115,122,4,1,3,9,9,10,9,16,13,4,7,18,204,215,284,243,256,306,182,228
acu00003_1,10,14,37,33,41,35,19,16,51,59,85,66,58,40,47,62,40,25,37,62,91,37,133,132
acu00003_6,151,64,294,179,29,23,18,13,34,10,20,28,6,6,1,1,18,13,4,17,13,12,10,0
acu00003_3,0,1,2,0,44,57,5,5,1,0,0,1,1,6,0,0,0,0,0,0,916,361,499,460
acu00003_2,36,13,22,24,13,18,22,13,228,119,206,208,43,66,54,61,121,160,161,152,70,68,110,113
acu00003_4,49,27,3,14,1,0,2,0,10,6,5,5,2,9,0,1,2,2,0,1,1,0,0,1
acu00003_7,11,5,2,5,0,0,0,0,36,13,11,13,1,4,18,13,0,0,1,0,1,2,1,3
acu00003_8,0,1,0,0,1,1,1,0,2,5,50,18,9,26,10,13,1,0,1,1,92,70,61,51
acu00003_9,1,0,0,0,1,1,0,0,9,15,1,1,13,22,1,1,12,13,12,15,61,19,23,19
acu00004_3,1070,1061,854,736,759,772,646,668,1,3,2,2,8,8,15,24,3,1,0,0,0,0,0,0
acu00004_4,316,192,176,143,206,162,270,337,104,136,66,149,59,65,91,99,25,13,18,41,30,11,45,38
acu00004_5,1047,693,1195,1033,1684,1921,3250,3117,72,136,332,131,289,178,450,294,32,22,25,38,55,23,64,82
acu00004_6,286,211,196,187,49,54,130,99,484,971,692,1125,495,1130,682,506,83,99,62,71,115,56,64,136
acu00004_7,1110,983,996,786,499,571,955,798,16,14,2,14,7,28,16,15,1331,1792,1491,1127,1838,678,477,584
acu00006_2,3511,1497,2018,1417,1775,1936,836,1047,89,108,22,30,2477,1327,357,687,469,388,285,517,424,319,577,664
acu00006_1,11749,7340,8587,8497,7123,6854,5944,5444,24179,13630,10095,16668,4890,3242,8594,12016,9031,7138,6669,9189,5260,2853,5728,8019
acu00006_3,2441,953,1021,946,2849,3350,3828,3250,2000,2898,240,1830,420,442,548,933,924,4201,2724,741,21497,13597,13759,16575
acu00006_5,584,976,330,213,215,241,237,199,3448,2246,3999,6148,22575,14293,4628,8304,969,591,604,988,16,3,26,46
acu00006_6,951,352,572,559,519,477,302,255,11,29,213,429,350,673,508,530,4,3,5,3,5,2,2,3
acu00006_7,1305,998,1164,1120,3848,3996,2119,2349,1729,1249,633,787,1054,824,896,1064,1851,1629,1664,1900,880,609,1259,1752
acu00007_2,789,130,304,203,3,17,203,50,30,12,8,46,16,20,16,9,29,30,30,38,6,14,18,25
acu00007_5,555,1861,916,596,6091,6552,5639,4320,3044,2956,1879,3046,4111,5556,1588,2267,850,1422,1085,807,7858,5569,2787,3294
acu00007_4,5338,1485,5331,2142,2329,2542,4728,5750,542,837,730,996,1471,1508,3584,925,304,411,387,234,5502,6467,866,1067
acu00007_3,1887,1814,994,1421,314,315,399,343,73,110,49,57,91,71,96,97,369,337,522,455,50,46,58,104
acu00007_6,0,1,0,0,104,116,8,2,20,5,5,4,19,14,4,10,187,172,266,215,33,18,35,62
acu00007_7,0,5,1,0,22,24,36,45,1,1,1,2,3,0,0,0,34,26,28,35,0,1,7,14
acu00007_8,6698,2774,9400,4813,227,273,481,390,3,0,0,2,1,12,1,1,1,1,0,1,0,0,0,1
acu00007_9,0,0,0,1,7,1,0,0,12453,6888,9554,12034,7314,7008,15857,23141,44,58,68,68,130,59,243,215
acu00008_4,15,44,3,15,1,10,28,24,442,348,594,267,1,5,35,17,286,199,265,389,0,1,43,32
acu00008_2,3967,1797,2943,2750,366,336,644,625,178,193,172,163,160,111,187,203,550,573,620,634,581,311,371,497
acu00008_5,632,576,1303,1342,69,130,198,147,339,25,8,7,1,1,6,18,9,12,7,18,0,4,0,0
acu00008_6,1843,1048,1400,1312,426,444,517,572,284,315,171,176,137,160,195,200,155,135,174,202,70,52,71,85
acu00008_1,47,4,3,17,66,122,311,238,306,49,8,32,1392,1037,4009,994,42,85,109,41,741,429,1222,1050
acu00008_8,102,98,128,101,59,79,91,50,4,6,0,1,0,3,0,0,26,21,21,16,6,15,1,7
acu00009_1,244,227,222,352,122,136,372,489,22,39,16,34,51,20,17,48,386,201,222,349,80,40,115,186
acu00009_2,585,479,496,471,475,508,529,463,491,598,455,810,559,453,502,533,29,23,34,30,16,13,29,16
acu00010_8,22,4,14,6,62,109,36,34,121,206,19,25,401,288,241,43,45,40,57,59,96,31,106,152
acu00010_7,1084,951,1025,930,12642,12016,4923,3620,2520,5778,2605,5490,937,2966,227,800,3414,4074,4090,3591,3730,1462,1733,5543
acu00010_2,172,129,166,141,171,134,110,88,818,1032,379,421,173,238,171,217,94,132,94,96,415,227,115,319
acu00010_1,190,81,100,89,149,196,172,157,29,106,73,227,186,791,23,25,231,210,150,227,177,155,60,87
acu00010_3,3,4,8,6,113,85,27,13,41,66,2,8,9,18,1,1,10,0,3,1,27,28,34,50
acu00010_5,2520,1555,2660,2383,1970,2112,2979,1635,1611,2610,464,1272,466,1493,731,410,2251,1925,1748,1853,3272,1018,1822,4050
acu00010_4,444,226,477,344,282,289,174,110,153,248,175,220,152,104,115,165,132,112,122,125,137,440,106,155
acu00010_6,55,35,45,37,34,60,15,16,11,24,42,45,420,143,33,21,27,16,36,24,54,21,28,73
acu00011_7,5528,5074,7754,5899,25780,27833,20276,23224,8120,10769,2570,5326,5456,6114,9193,11452,3216,2857,2841,3618,7998,6904,15736,14544
acu00011_2,163,83,115,136,109,125,226,190,112,122,250,246,349,183,560,275,298,297,316,393,948,1798,1136,589
acu00011_1,0,0,0,0,7,0,7,8,115,180,212,340,1256,1053,1152,367,0,1,0,3,18,488,131,30
acu00011_3,94,306,600,195,106261,104594,3639,2864,394,645,35,146,13,57,2,3,743,414,514,795,227,233,86,113
acu00011_5,659,567,615,380,1305,1481,5665,3125,171,124,137,213,194,207,281,248,542,361,388,576,537,861,2422,3465
acu00011_6,65,65,83,120,25,10,57,35,1775,6507,85,1236,3,5,6,27,56,55,52,64,123,309,70,44
acu00011_4,266,137,476,437,114,80,74,43,4465,38667,3027,6674,102,166,190,190,2613,1432,1646,2393,75,73,100,75
acu00012_5,41,32,54,186,17,78,20,53,0,1,0,0,0,0,0,0,4,1,1,1,0,0,0,0
acu00012_3,15993,13138,14925,15292,15975,17772,16743,15807,40975,31004,14678,19521,30294,22962,10439,17434,15816,16550,16700,16335,35110,26363,20098,27428
acu00012_1,25168,15244,15229,16170,21562,23438,19805,18381,31155,35669,14063,23470,16164,17787,13947,21245,23404,20968,17652,20961,31665,30341,28497,43427
acu00012_2,1775,1230,1149,1405,415,670,277,395,1883,1711,1463,1553,805,609,366,428,1286,1082,1285,1591,1031,608,1057,1001
acu00013_2,2316,1154,1515,1507,707,866,642,634,2102,2091,1472,2897,1374,1088,1775,1735,1741,1498,1357,1810,656,384,459,880
acu00013_4,6481,3582,4671,4202,3438,4073,3114,3010,2062,2040,1195,1638,1701,1262,1586,1795,3959,3403,3737,3953,2372,1481,2118,3059
acu00013_5,5373,4157,5441,4775,4952,5392,4482,4104,3662,3807,3354,4557,3609,2581,5480,4998,8444,7736,7434,8952,5575,3176,4272,6828
acu00013_3,4313,3780,4398,3250,4179,4373,4006,4074,2881,3533,4204,4661,4500,4149,4907,4960,4663,4273,4892,5415,6308,3037,5287,5717
acu00013_1,2218,1008,1406,1419,791,766,1233,1258,1212,1308,770,1119,1184,677,2200,2250,2244,1848,1641,2113,1282,575,1609,2096
acu00013_6,877,633,849,703,1453,1455,1120,975,585,984,802,1167,1010,847,597,736,1393,1332,1136,1362,1540,862,757,1124
acu00015_1,0,0,2,0,0,2,0,2,80,46,1,1,1,30,0,0,0,0,1,0,0,1,2,1
acu00015_2,8,5,5,8,2,1,5,1,4758,9627,36,66,44,63,19,23,4,46,2,2,0,4,3,1
acu00015_4,1333,9452,15715,6370,16,33,89,124,5110,1782,2106,3232,1361,2758,519,1270,2250,3775,3724,2965,1454,640,590,510
acu00016_4,523,304,380,393,300,256,111,130,109,206,87,155,216,191,80,128,70,59,86,66,73,50,56,83
acu00016_2,618,2090,1615,1055,9933,9919,2158,1259,1671,2443,458,1337,2326,3692,285,736,3512,3491,2971,3187,8052,3881,4480,4952
acu00016_1,18118,27482,31978,26592,26227,26868,17956,15926,23150,24805,19274,29707,15882,17236,11446,20830,35054,31736,30260,34837,19059,11958,21547,27790
acu00016_3,4495,438,421,864,3,1,103,74,688,1661,864,1182,22,42,176,1117,238,270,230,252,50,23,196,213
acu00017_3,612,583,889,860,241,291,305,258,507,616,270,770,324,262,149,172,547,813,541,501,2003,1263,232,297
acu00017_2,10791,11260,19029,20177,9829,10497,17296,16491,658,1512,5050,11229,27514,17571,8097,10678,14127,16797,11191,11601,11683,10360,7853,11651
acu00017_1,1079,1004,687,749,5016,5296,3563,3208,286,608,119,239,2439,2088,867,990,347,328,260,310,839,498,200,289
acu00017_4,135,148,145,115,145,123,218,207,9,98,2,13,24,17,10,21,921,859,811,995,1692,846,466,415
acu00018_2,2207,722,662,1032,47,67,78,70,3751,2862,733,699,500,374,408,678,195,263,168,201,118,44,47,61
acu00018_4,5062,2481,670,727,42,57,65,52,65,132,461,525,44,50,1812,716,21,27,28,34,1,7,0,5
acu00018_3,58,33,20,23,96,90,53,56,1,1,1,0,2,2,1,2,0,0,0,0,1,0,0,0
acu00018_1,499,268,223,175,45,74,43,44,86,78,76,74,273,332,60,196,1087,727,1029,1215,803,526,641,523
acu00018_5,183,145,439,315,423,435,185,185,3391,3500,4654,8049,8782,10903,4106,5809,116,123,89,155,140,56,68,63
acu00019_3,58,99,53,77,916,1007,614,471,64,140,121,221,982,805,250,315,186,362,431,177,299,98,202,245
acu00019_1,30,77,61,64,28,16,21,95,786,1640,1299,2062,1588,2289,122,99,684,1581,2088,679,602,199,185,406
acu00019_2,1029,589,1036,725,60,105,246,286,230,470,795,235,184,345,190,109,1060,1008,1299,1374,92,213,95,110
acu00020_1,1,2,0,2,3,7,0,1,437,920,340,1236,25,24,133,278,21,33,21,14,4,1,3,7
acu00020_2,0,0,0,0,1,1,0,1,38,65,3,58,27,43,13,28,29585,19408,7362,15658,95,324,330,956
acu00021_3,28,100,69,108,3,0,1,6,0,23,2,2,0,2,489,747,398,114,35,47,155,75,260,524
acu00021_2,2853,1718,2079,2158,993,1039,924,853,2218,5224,1982,2315,2078,3275,1195,1248,818,952,698,732,4541,3851,2153,2535
acu00021_1,1,33,20,24,78,86,9,9,1707,4864,87,499,1582,3462,14,30,9,4,5,4,126,149,58,39
acu00021_4,1777,1610,1331,896,6384,7016,1867,1973,16,31,25,21,3,1,110,98,1584,2607,1228,1253,81,19,84,70
acu00022_3,22130,13607,9892,10480,29863,30247,18205,18865,14628,13188,15409,16145,83175,49480,36419,22210,20717,20529,25155,23390,19751,15793,28125,42762
acu00022_1,2583,1733,2213,1926,1788,2084,1531,1533,1986,3086,2809,3192,5960,5572,4335,4648,2657,2171,2470,2757,2745,1338,3246,3714
acu00022_2,484,525,637,555,520,621,218,169,238,677,948,1255,1565,1694,653,802,2630,2629,2747,2814,3271,1205,1555,1261
acu00023_1,708,467,562,656,884,1129,1508,1509,733,636,518,588,1922,1105,4067,2464,1383,1252,1201,1460,6122,2896,8572,7618
acu00023_3,1,1,3,18,1,0,3,2,17,20,3,2,5,11,1,1,108,47,46,72,3,0,2,3
acu00023_4,4249,1311,1414,1376,649,772,2043,2075,776,375,401,608,107,76,546,274,4336,3158,4162,4702,2461,892,2927,2955
acu00023_2,5208,3141,3151,2038,22,10,413,262,311,106,400,490,55,100,2075,716,5008,3918,4853,5680,706,221,427,408
acu00024_3,8377,7929,9607,7205,2997,3080,5419,5354,5558,7132,9066,11897,1975,3117,5937,6498,13907,12340,12804,14748,5279,2452,3419,5105
acu00024_1,879,1266,1001,825,4869,5031,3222,2748,871,804,408,497,7104,6248,2815,3338,502,454,459,548,2199,1078,2189,2613
acu00024_4,3255,2538,2067,1909,1443,1568,1890,2247,1106,643,525,375,1829,1197,2858,3079,1455,1573,1738,1865,1389,839,1996,2589
acu00024_2,943,534,526,411,108,125,172,169,195,137,510,512,143,154,114,94,1262,910,1100,1369,391,167,195,269
acu00025_1,632,1886,3093,4564,25,23,21,17,5371,662,215,286,68,63,87,57,494,516,585,530,263,176,243,239
acu00025_2,4721,2469,5277,6193,121,318,171,276,23,136,3,6,21,144,10,9,55,18,34,58,4,0,2,11
acu00025_3,93,161,78,135,7,5,3,0,9,2,0,0,4,8,15,24,5,1,11,5,45,31,26,28
acu00026_2,1027,1470,1289,1401,595,707,662,557,791,1544,735,1299,384,519,200,192,1581,1725,1587,1534,816,687,454,504
acu00026_5,2,0,7,5,166,177,51,67,75,155,19,39,205,146,29,65,99,184,224,181,1562,591,681,670
acu00026_4,46,30,45,50,203,182,165,189,47,89,34,76,64,103,82,78,9,2,6,7,48,20,5,31
acu00026_1,440,860,1077,1256,1612,1811,2106,1980,1116,2409,718,2134,6571,5877,489,475,700,717,602,800,1665,1360,1115,1923
acu00026_3,17039,28414,16925,15944,27275,27972,39449,36481,13794,14642,5408,14033,42263,34709,22900,29850,4691,3760,4082,4978,12372,8507,7557,8297
acu00027_2,95,102,107,131,167,236,246,191,479,2800,65,180,118,144,84,149,259,257,164,240,192,93,264,317
acu00027_3,1547,1162,1957,1854,1192,1270,970,928,1938,2431,1055,2639,840,861,840,1470,1745,1509,1244,1680,597,458,558,732
acu00027_1,15325,9010,11146,13780,5398,5969,6686,7109,3685,5670,19069,60868,41532,30596,16569,17620,11764,8736,8420,11217,5966,3692,4950,6320
acu00027_4,0,0,0,0,0,0,0,0,8,0,5,0,2,5,1,6,704,586,565,600,271,252,289,340
acu00028_2,1,1,1,3,113,229,270,295,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acu00028_1,765,585,572,597,503,627,534,538,404,372,250,359,286,234,366,396,1759,1422,1293,1731,350,221,377,497
acu00028_3,3,9,12,13,5,1,4,5,9,10,31,40,29,44,41,45,25,39,38,34,16,21,42,18
acu00029_3,64,77,91,70,34,85,175,124,197,231,70,217,107,67,194,145,55,74,73,58,374,144,180,196
acu00029_1,131,236,128,104,282,338,214,233,265,589,71,104,535,502,191,295,24,26,32,47,21,11,29,11
acu00029_4,1676,1361,1505,1131,1332,1458,1024,933,2138,2713,2643,2724,3869,3322,1522,1837,651,607,776,669,869,625,928,961
acu00029_2,0,0,0,0,0,0,0,0,4,3,0,2,1,4,2,1,11,4,4,9,5,2,6,6
acu00030_1,3057,3655,2364,2300,2099,2266,3019,2970,459,311,853,933,1765,994,746,1148,7457,6021,8100,9145,1986,1101,2949,2635
acu00030_2,5,6,7,12,17,14,17,9,11,43,44,118,294,140,34,20,1142,1039,1284,1463,587,230,457,373
acu00030_3,550,716,461,320,435,592,496,500,3,41,52,91,200,149,51,19,972,884,1125,1078,1798,1472,728,696
acu00030_4,8,14,8,12,25,57,11,15,3,1,0,0,2,0,1,0,2,0,3,1,0,1,0,2
acu00031_2,200,128,122,91,108,145,90,80,109,218,71,178,167,211,64,74,162,198,173,161,348,379,155,162
acu00031_3,3357,1967,2950,2706,591,576,532,540,2626,2693,1253,1682,204,188,154,143,2879,2234,1998,2863,285,148,195,253
acu00032_2,410,379,762,424,150,155,167,155,214,347,65,429,69,74,70,67,254,216,162,257,80,118,98,137
acu00032_1,6026,3330,6293,6228,4413,5299,2796,2976,8001,5377,7832,6053,7286,6065,3436,8272,14727,10719,9659,13984,8157,4900,8643,12760
acu00032_4,1171,2620,2266,2749,2270,2463,2114,2037,699,1217,489,1575,1007,792,293,443,1883,1548,1429,1866,242,123,245,258
acu00032_3,384,740,897,381,327,425,207,186,17039,11770,1310,2858,4065,3546,2283,3041,51,29,29,34,27,18,98,96
acu00034_2,135,74,147,107,73,95,154,154,40,48,102,114,60,62,73,86,77,74,89,103,53,23,35,59
acu00034_1,321,157,204,150,550,1132,1126,599,428,510,374,607,1501,3275,2986,908,112,138,105,105,350,348,163,244
acu00034_3,76,100,154,98,315,313,434,369,80,34,22,35,167,303,245,136,12,9,8,25,13,16,22,12
acu00034_4,0,1,0,0,0,1,0,1,5,12,5,32,14,24,10,7,45,25,50,35,5,17,7,8
acu00035_1,44,30,41,23,6,15,7,5,903,2227,173,232,73,263,13,18,40,54,8,22,5,23,12,9
acu00035_2,0,1,0,1,1,0,0,0,154,104,33,116,18,25,1,1,1,1,2,1,3,4,3,0
acu00035_3,9,6,5,1,4,27,22,28,0,3,0,0,1,1,0,0,0,0,0,0,2,0,0,0
acu00035_4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,420,274,223,471,7,14,5,6
acu00037_1,168,130,157,122,170,206,158,141,322,861,436,793,284,240,243,335,492,393,373,503,378,665,356,499
acu00037_4,521,312,490,452,2384,2494,2149,1793,150,130,145,216,3773,2051,1166,419,443,354,354,452,3117,3114,4721,4016
acu00037_3,3450,2835,2992,3038,2224,2386,2036,1949,178,174,310,447,356,353,529,636,1706,1524,1234,1559,1284,894,1533,1673
acu00038_1,0,0,0,0,0,0,0,0,24,11,16,13,0,2,12,1,6,5,11,8,0,1,1,1
acu00038_2,16,30,22,33,33,31,7,5,97,320,53,161,18,33,9,32,4,4,2,2,6,1,10,1
acu00038_3,0,0,0,1,0,0,1,1,98,66,5,8,68,134,113,93,32,19,43,38,6,12,11,16
acu00040_3,40,46,15,39,11,7,22,8,168,517,187,474,158,141,131,94,809,1005,1144,864,536,313,68,97
acu00040_2,3749,1811,1643,1565,1778,1824,2326,1848,261,605,660,1355,1995,1250,2572,1982,3168,2602,3459,3451,1621,620,1675,1652
acu00040_1,5370,2532,2773,2483,2875,3108,4197,4691,1218,1168,1740,2234,4453,3680,4064,5070,2517,2384,2543,2558,6634,3177,6691,7449
acu00041_1,0,0,4,2,1,0,0,0,1,1,1,0,5,1,5,1,1,0,1,2,2,2,4,0
acu00041_3,1365,640,301,296,53,60,267,294,0,0,0,1,0,1,0,0,1324,1365,1868,1571,8141,12904,6833,7532
acu00041_2,23,28,20,25,1,4,5,6,2,5,2,0,1,0,2,1,0,2,1,2,0,2,0,1
acu00042_3,4,7,3,6,31,61,40,213,7,11,0,0,17,0,7,2,4,9,15,6,24,7,20,30
acu00042_2,6311,2726,878,1245,4,8,4,6,17,29,20,16,2,6,2,17,2025,1749,1973,2414,1403,331,725,936
acu00042_1,35393,16424,8031,7720,429,585,323,259,3482,4639,1856,3823,547,704,181,320,16225,18512,17792,15867,7453,5417,2547,2577
acu00043_3,112174,91014,77792,66571,120546,122113,158660,153881,111136,95381,67475,75461,86066,67611,88442,113741,147801,118194,123259,156710,81130,95643,81331,114627
acu00043_4,32755,21874,31807,31211,20807,24344,16816,15880,16644,15284,15182,12080,11025,7814,15280,19229,28938,25505,23869,30252,26441,21501,24304,39476
acu00043_2,19221,18393,18359,16942,23850,26323,28337,26906,25360,37937,20070,48755,23822,15675,26109,32097,23354,20282,18416,25203,19630,18334,18128,28300
acu00043_1,28122,22721,23614,20683,35990,36878,42669,37547,25017,26174,12525,14733,33033,27637,31108,40237,17858,13736,14914,19307,37544,34315,35790,44299
acu00044_1,68127,36625,8817,11109,9,8,57,99,942,2998,32125,45904,22292,16950,8407,6623,24706,21458,20150,24264,8,39,87,55
acu00044_4,1398,1470,744,731,777,853,406,456,2718,1455,6011,6230,5207,3980,3449,4679,11091,8989,10525,12176,5834,1438,4961,4101
acu00044_3,3,0,5,2,167,224,186,101,31,26,7,28,4,4,0,1,0,0,1,0,0,0,3,1
acu00045_3,8,2,25,20,36,34,56,64,1,4,2,4,12,13,1,0,5,2,1,2,14,6,29,20
acu00045_1,6,0,0,3,1,8,1,2,0,0,0,1,0,2,0,1,8,12,6,3,1,11,3,3
acu00045_2,403,262,286,259,374,378,339,326,544,578,259,479,643,733,569,651,521,569,635,623,332,288,425,447
acu00045_4,9,5,6,3,30,34,20,23,0,1,0,0,1,0,0,0,8,5,10,6,30,10,6,2
acu00046_3,90,201,77,89,4,6,2,5,7173,7928,5855,11199,880,1227,3651,4092,3294,3376,3489,3886,2959,2737,3872,3273
acu00046_1,306,376,313,465,347,539,599,612,310,794,4406,2860,2203,2325,11436,6312,2052,1715,2015,2573,652,469,909,866
acu00046_2,396,1990,640,698,3360,3602,1767,1135,24250,21011,13431,17479,25071,21796,5855,17264,6494,9248,5350,4803,7359,5370,3704,5021
acu00047_4,1035,1272,1965,1237,312,335,210,181,2594,3038,1082,1721,1778,1892,969,1028,1144,1046,970,1207,956,423,456,756
acu00047_2,936,558,845,852,2750,2568,1415,972,559,665,459,693,503,581,594,700,480,482,354,520,1539,485,450,808
acu00047_1,434,920,364,435,23741,22853,9151,6396,641,2328,277,1435,39482,31385,20098,22915,18169,20199,13158,16264,42751,18550,35868,44985
acu00047_3,73,104,74,62,54,76,39,45,38,33,2371,353,181,121,354,163,1823,1304,1601,2151,371,204,229,264
acu00048_1,147,47,75,62,0,0,14,14,91,121,47,139,14,25,144,125,249,265,306,263,36,59,62,74
acu00048_3,676,545,456,394,726,904,829,638,1612,709,1146,1764,860,629,874,1581,347,332,323,354,486,178,324,360
acu00048_2,18962,30280,11470,7767,10414,11259,7940,7739,12245,7995,15012,27028,23166,19323,11095,13203,19124,16019,14997,17729,10582,6766,5773,8185
acu00048_4,60487,69900,39125,27288,1088,1254,2735,3399,17487,7104,17467,27973,1839,1135,12422,8940,51503,44233,45994,54206,2887,6436,6700,4638
acu00049_4,268,36,152,69,2,15,7,7,31,58,100,86,24,13,263,294,1,0,1,0,0,1,0,1
acu00051_2,36,15,10,12,0,0,0,0,31,22,2,2,0,0,0,0,1,1,3,1,0,0,0,1
acu00051_3,2,3,0,3,325,365,206,200,45,578,11,35,0,11,0,0,37,65,16,21,1,15,5,9
acu00052_2,551,700,842,821,1119,1088,3212,2382,533,1078,1288,2775,2967,6781,4685,3907,2642,2126,2322,2864,2891,520,1771,3340
acu00052_1,675,365,470,668,2678,2870,812,724,1037,3278,3420,6950,2748,6424,1010,1326,1005,1014,1090,1060,1156,492,922,1373
acu00052_3,1502,1938,882,1238,1598,1786,2231,1930,425,465,269,708,1751,2852,1632,1264,2083,2801,3736,2355,619,356,665,784
acu00053_2,58,33,19,14,4,4,7,3,1079,892,1149,2177,66,159,51,32,121,305,119,83,8304,3994,2360,2317
acu00053_1,331,510,653,553,233,257,468,403,222,382,411,912,263,274,398,375,349,636,815,441,3067,1244,741,618
acu00053_3,2,2,0,0,164,191,19,38,79,145,89,143,229,313,41,91,0,18,0,1,7,146,7,10
acu00054_2,1796,949,1043,878,578,731,1365,1249,1589,1654,1121,1815,822,648,451,589,1086,1183,936,1175,702,598,791,1509
acu00054_4,226,228,183,129,5,0,6,12,26,90,58,73,8,7,13,5,142,117,142,121,62,31,40,24
acu00054_1,12907,17849,18096,19468,21355,22475,16463,14947,29182,31502,5970,12027,8547,7050,7315,7057,23352,22770,21503,23011,5762,5488,6320,8439
acu00054_3,791,699,874,838,473,439,462,449,1590,801,1309,2277,73,49,108,75,3680,2546,3465,4261,374,271,323,462
acu00055_1,3864,4211,6763,7126,15484,15439,13697,11494,11174,9371,4107,7743,10193,7829,2364,5043,1793,2812,2692,1484,15794,6820,11392,15269
acu00056_1,619,566,938,748,436,625,1320,1557,78,97,44,101,83,54,67,58,447,364,453,466,728,193,324,323
acu00057_4,854,302,462,489,437,457,354,396,2769,1958,3078,2661,3534,3221,3804,4420,408,310,269,309,535,197,268,455
acu00057_1,564,366,547,520,231,292,488,383,4049,2482,2053,2559,3838,2759,3377,3620,218,220,205,224,157,77,154,256
acu00057_3,5829,2418,3344,3044,5,8,7,7,1,8,8,9,3,8,3,4,87,68,81,84,38,33,38,96
acu00057_2,1,2,7,1,0,0,0,0,0,1,0,1,0,1,1,1,0,4,0,1,0,0,1,1
acu00058_4,222,349,342,351,696,930,1123,1066,57,199,31,328,14,28,57,27,879,647,782,1025,502,512,359,448
acu00058_2,419,306,367,408,155,170,172,178,911,3526,232,372,181,288,103,133,174,174,114,196,131,1568,754,1178
acu00058_3,0,0,0,0,160,154,78,13,6,149,1,0,180,67,56,5,7,3,6,6,50,610,111,126
acu00058_1,1437,1100,1094,991,13894,14525,862,1079,3321,4137,572,855,11315,9154,1001,1886,741,631,585,791,4821,3829,4160,5550
acu00059_1,4737,5333,4721,3786,4124,4454,2512,2490,4517,4678,2227,6051,5998,4202,938,1924,3865,3410,2671,3778,3869,2110,1259,2644
acu00059_3,311,175,190,220,82,96,91,93,243,250,169,224,129,126,144,107,323,262,286,327,198,142,215,277
acu00059_4,464,175,499,395,55,53,67,48,132,157,28,42,51,68,27,23,507,370,426,529,30,39,124,194
acu00059_2,1236,980,1280,1092,970,1075,754,692,1668,1924,2291,3404,624,1112,132,319,803,1073,1038,905,919,380,284,270
acu00060_3,185,134,159,142,53,54,31,54,3,6,17,3,10,2,3,1,0,0,0,0,0,0,0,0
acu00061_3,5014,4752,3274,2868,315,396,2400,3561,293,291,326,516,280,262,808,893,1543,1807,2385,1759,597,314,286,520
acu00061_1,10679,19749,13340,6947,13453,14499,18104,16758,4222,9901,4609,6349,770,1131,242,191,13332,13324,11767,13730,27396,20181,14182,21124
acu00061_2,878,1555,3724,2333,209,189,141,165,21,43,1,8,6,12,0,2,229,233,240,264,782,603,137,188
acu00062_4,191,188,118,121,100,109,294,269,238,155,103,102,262,130,624,415,1011,763,787,1197,237,142,319,398
acu00062_1,917,832,645,606,634,703,746,765,587,876,1404,1474,965,802,888,902,1364,1170,1397,1536,774,321,543,466
acu00062_2,34,28,20,18,76,105,101,67,72,97,56,58,164,121,101,93,184,145,133,191,58,35,88,92
acu00062_3,266,169,308,199,474,553,535,455,1039,1524,1320,1096,1329,1117,1763,2154,1361,1214,1141,1359,622,260,652,820
acu00063_2,908,245,653,777,2938,2873,9373,8530,1565,1571,4566,8403,5694,11240,20943,25537,1487,1143,961,1308,23025,5300,22873,31662
acu00063_4,51,21,24,6,9,4,8,9,5,27,0,2,5,6,7,6,74,61,104,81,26,31,5,21
